district,Population_2011,population_2019,population_2025
Adilabad,708972,754346,788377
Bhadradri Kothagudem ,1069261,1137694,1189018
Hyderabad,3943323,4195696,4384975
Jagtial ,985417,1048484,1095784
Jangaon ,566376,602624,629810
Jayashankar Bhoopalpally,416763,443436,463440
Jogulamba Gadwal ,609990,649029,678309
Kamareddy ,972625,1034873,1081559
Karimnagar ,1005711,1070077,1118351
Khammam,1401639,1491344,1558623
Komaram Bheem Asifabad,515812,548824,573583
Mahabubabad ,774549,824120,861298
Mahbubnagar,919903,978777,1022932
Mancherial,807037,858687,897425
Medak ,767428,816543,853380
Medchal ,2440073,2596238,2713361
Mulugu,257744,274240,286611
Nagarkurnool ,893308,950480,993358
Nalgonda,1618416,1721995,1799679
Narayanapet,566874,603154,630364
Nirmal,709418,754821,788873
Nizamabad,1571022,1671567,1746976
Peddapalli,795332,846233,884409
Rajanna Sircilla ,552037,587367,613865
Ranga Reddy,2446265,2602826,2720247
Sangareddy ,1527628,1625396,1698722
Siddipet,1012065,1076837,1125416
Suryapet,1099560,1169932,1222711
Vikarabad,927140,986477,1030980
Wanaparthy ,577758,614735,642467
Warangal (Rural),718537,764523,799013
Warangal (Urban),1080858,1150033,1201914
Yadadri Bhongir,739448,786773,822266
